employee_id,department,planned_hire_date,actual_hire_date,annual_salary,benefits_rate
E1001,Engineering,2023-10-01,2023-10-18,138100.0,0.22
E1002,Engineering,2025-02-01,2025-02-26,175900.0,0.22
E1003,Engineering,2023-02-01,2023-01-22,144100.0,0.22
E1004,Engineering,2024-02-01,2024-01-23,140400.0,0.22
E1005,Engineering,2023-03-01,2023-03-02,115200.0,0.22
E1006,Engineering,2024-11-01,2024-12-16,162600.0,0.22
E1007,Engineering,2024-04-01,2024-04-17,146800.0,0.22
E1008,Engineering,2023-09-01,2023-09-28,175200.0,0.22
E1009,Engineering,2023-08-01,2023-08-26,175400.0,0.22
E1010,Engineering,2024-09-01,2024-09-01,141300.0,0.22
E1011,Engineering,2025-11-01,2025-12-04,175300.0,0.22
E1012,Engineering,2023-09-01,2023-09-19,159700.0,0.22
E1013,Engineering,2024-10-01,2024-10-01,171500.0,0.22
E1014,Engineering,2023-09-01,2023-09-06,113100.0,0.22
E1015,Engineering,2026-02-01,2026-02-16,171900.0,0.22
E1016,Engineering,2024-05-01,2024-04-18,129100.0,0.22
E1017,Engineering,2023-12-01,2023-11-13,129700.0,0.22
E1018,Engineering,2024-04-01,2024-03-22,160500.0,0.22
E1019,Engineering,2025-01-01,2025-01-19,147100.0,0.22
E1020,Sales,2025-04-01,2025-03-31,111900.0,0.22
E1021,Sales,2023-09-01,2023-09-15,105300.0,0.22
E1022,Sales,2023-04-01,2023-03-19,133200.0,0.22
E1023,Sales,2025-01-01,2025-02-10,141700.0,0.22
E1024,Sales,2026-04-01,2026-04-12,98400.0,0.22
E1025,Sales,2024-03-01,2024-03-16,101600.0,0.22
E1026,Sales,2025-04-01,2025-04-29,110800.0,0.22
E1027,Sales,2024-02-01,2024-02-05,88600.0,0.22
E1028,Sales,2024-03-01,2024-02-28,117500.0,0.22
E1029,Sales,2026-02-01,2026-03-02,123900.0,0.22
E1030,Sales,2026-05-01,2026-06-07,136700.0,0.22
E1031,Sales,2024-08-01,2024-08-17,113100.0,0.22
E1032,Marketing,2026-01-01,2026-01-06,103700.0,0.22
E1033,Marketing,2024-10-01,2024-09-27,118800.0,0.22
E1034,Marketing,2025-09-01,2025-09-23,107000.0,0.22
E1035,Marketing,2026-02-01,2026-03-07,92400.0,0.22
E1036,Marketing,2024-05-01,2024-05-11,118400.0,0.22
E1037,Marketing,2025-10-01,2025-09-25,123600.0,0.22
E1038,Marketing,2023-05-01,2023-06-14,86700.0,0.22
E1039,Customer Success,2023-06-01,2023-05-28,82900.0,0.22
E1040,Customer Success,2026-01-01,2026-01-17,104100.0,0.22
E1041,Customer Success,2022-09-01,2022-08-31,107100.0,0.22
E1042,Customer Success,2023-06-01,2023-07-10,106900.0,0.22
E1043,Customer Success,2023-08-01,2023-08-27,87200.0,0.22
E1044,Customer Success,2024-03-01,2024-04-06,99300.0,0.22
E1045,Customer Success,2026-04-01,2026-05-16,101500.0,0.22
E1046,Customer Success,2023-05-01,2023-04-28,116300.0,0.22
E1047,G&A,2024-07-01,2024-08-06,117700.0,0.22
E1048,G&A,2025-02-01,2025-02-27,157900.0,0.22
E1049,G&A,2024-07-01,2024-06-16,99500.0,0.22
E1050,G&A,2026-01-01,2026-02-10,101200.0,0.22
E1051,G&A,2026-04-01,2026-05-03,124600.0,0.22
E1052,G&A,2023-03-01,2023-04-04,139700.0,0.22
