month,budget_revenue,budget_cogs,budget_payroll,budget_opex,actual_revenue,actual_cogs,actual_payroll,actual_opex,forecast_revenue,forecast_cogs,forecast_payroll,forecast_opex,starting_cash,capex,financing,ending_cash
2023-01-01,126075.48682926831,23954.342497560978,26049.440000000002,179861.15,129227.37400000001,25139.068437545437,25538.666666666668,192394.77,129227.37400000001,25070.110556000003,25538.666666666668,179861.15,18000000.0,45000,0,17853757.446777333
2023-02-01,129969.06536585366,24694.122419512198,26049.440000000002,182300.1,133218.292,26235.80744369323,25538.666666666668,189729.39,133218.292,26234.438880966183,25538.666666666668,182300.1,17853757.446777333,15000,0,17737902.5332297
2023-03-01,134014.04682926828,25462.668897560972,51808.52,184756.91,137364.398,26942.87426197609,50792.666666666664,202374.15000000002,137364.398,27198.150803999997,50792.666666666664,184756.91,17737902.5332297,15000,0,17597519.203759033
2023-04-01,138500.1873170732,26315.035590243908,78355.72,187265.71,141962.692,27766.614897090363,76819.33333333333,195793.90999999997,141962.692,27956.45786129301,76819.33333333333,187265.71,17597519.203759033,15000,0,17432440.394564405
2023-05-01,143082.9131707317,27185.753502439027,86952.44999999998,189785.9,146659.986,28226.834987727336,85247.49999999999,194423.65,146659.986,28452.037284,85247.49999999999,189785.9,17432440.394564405,15000,0,17260614.943280406
2023-06-01,146438.7473170732,27823.36199024391,95943.23999999999,192161.47,150099.71600000001,28137.588811688594,94061.99999999999,197565.34999999998,150099.71600000001,28518.946040000003,94061.99999999999,192161.47,17260614.943280406,15000,0,17080972.243240405
2023-07-01,151366.0468292683,28759.548897560977,107028.77,194722.27000000002,155150.198,28697.49768090802,104930.16666666667,206306.94,155150.198,28857.936828,104930.16666666667,194722.27000000002,17080972.243240405,45000,0,16862612.067745738
2023-08-01,155507.6136585366,29546.446595121954,134260.39,197190.46,159395.304,29096.198872689623,131627.83333333334,202968.04,159395.304,29180.784699936452,131627.83333333334,197190.46,16862612.067745738,15000,0,16649008.293712469
2023-09-01,158573.69170731708,30129.001424390244,191637.6,199531.87,162538.03399999999,28745.25795203866,187880.0,201065.87,162538.03399999999,29581.922187999997,187880.0,199531.87,16649008.293712469,15000,0,16379552.535524469
2023-10-01,161984.34341463415,30777.025248780486,205958.57000000004,201913.9,166033.952,30817.35790032903,201920.1666666667,211603.28000000003,166033.952,30396.13391741819,201920.1666666667,201913.9,16379552.535524469,15000,0,16096356.286940385
2023-11-01,166277.31317073174,31592.68950243903,219408.46000000002,204399.94,170434.246,31873.22627343761,215106.33333333334,215453.89,170434.246,31700.769756,215106.33333333334,204399.94,16096356.286940385,15000,0,15800583.489851052
2023-12-01,170860.03902439028,32463.407414634155,219408.46000000002,206920.13,175131.54,32882.099569894155,215106.33333333334,218920.39,175131.54,33274.992600000005,215106.33333333334,206920.13,15800583.489851052,15000,0,15505413.573917719
2024-01-01,181026.69620487807,34395.07227892683,233967.94,210098.52000000002,185552.36361,35674.36360349156,229380.33333333334,227149.54000000004,185552.36361,35997.15854034,229380.33333333334,210098.52000000002,15505413.573917719,45000,0,15170489.925654044
2024-02-01,185669.8516097561,35277.271805853656,255340.51,212625.83000000002,190311.5979,37214.34935992303,250333.83333333334,231262.74,190311.5979,37477.72102832967,250333.83333333334,212625.83000000002,15170489.925654044,15000,0,14845364.139192382
2024-03-01,191426.137902439,36370.96620146341,282520.27999999997,215284.36,196211.79134999996,39598.54746943632,276980.6666666666,226317.15,196211.79134999996,38849.934687299996,276980.6666666666,215284.36,14845364.139192382,15000,0,14495460.969188415
2024-04-01,198372.71458536587,37690.81577121952,321428.51999999996,218083.18,203332.03245,40863.809971661925,315125.99999999994,232065.56999999998,203332.03245,40041.81180953857,315125.99999999994,218083.18,14495460.969188415,15000,0,14110542.009828877
2024-05-01,204562.7941170732,38866.93088224391,333706.6,220792.84,209676.86397,41465.41311844422,327163.3333333333,232938.48000000004,209676.86397,40677.311610180004,327163.3333333333,220792.84,14110542.009828877,15000,0,13716585.388855364
2024-06-01,211722.80900487804,40227.33371092683,344024.75,223616.83000000002,217015.87922999996,41958.839938419434,337279.1666666667,229814.69,217015.87922999996,41233.017053699994,337279.1666666667,223616.83000000002,13716585.388855364,15000,0,13316472.254364997
2024-07-01,218312.75195121954,41479.422870731716,344024.75,226373.62,223770.57075,41667.033940117464,337279.1666666667,239949.09999999998,223770.57075,41621.3261595,337279.1666666667,226373.62,13316472.254364997,45000,0,12889968.71228883
2024-08-01,224859.46521951223,42723.29839170732,367958.7099999999,229125.31,230480.95185,42213.58835608775,360743.83333333326,241409.99000000002,230480.95185,42194.56197637586,360743.83333333326,229125.31,12889968.71228883,15000,0,12473385.958829122
2024-09-01,230115.92224390246,43722.025226341466,394931.0799999999,231724.91,235868.8203,42288.93671903918,387187.33333333326,238841.78999999998,235868.8203,42928.125294599995,387187.33333333326,231724.91,12473385.958829122,15000,4000000,16032414.410501188
2024-10-01,235572.31097560975,44758.73908536585,412715.62999999995,234348.09,241461.61874999997,45011.047249348034,404623.1666666666,250321.82999999996,241461.61874999997,44204.81239548869,404623.1666666666,234348.09,16032414.410501188,15000,0,15575699.960189031
2024-11-01,240928.73385365852,45776.459432195115,412715.62999999995,236959.47,246951.95219999997,45863.13570836223,404623.1666666666,248775.41000000003,246951.95219999997,45933.0631092,404623.1666666666,236959.47,15575699.960189031,15000,0,15120136.212613165
2024-12-01,246028.48884878046,46745.41288126829,429577.24999999994,239540.61,252179.20106999995,45893.16050926437,421154.1666666666,259584.24000000002,252179.20106999995,47914.04820329999,421154.1666666666,239540.61,15120136.212613165,15000,0,14648706.588813199
2025-01-01,261725.72816678052,49727.8883516883,444831.5199999999,243370.91999999998,268268.87137095,54201.75599118696,436109.33333333326,252720.84,268268.87137095,52044.161045964305,436109.33333333326,243370.91999999998,14648706.588813199,45000,0,14140451.04580485
2025-02-01,269608.924151561,51225.69558879659,494140.87,246280.15,276349.14725534996,53750.62645092381,484451.8333333333,255015.49000000002,276349.14725534996,54420.94103321489,484451.8333333333,246280.15,14140451.04580485,15000,0,13616647.268693652
2025-03-01,278275.09468785365,52872.26799069219,505744.89999999997,249281.68,285231.97205504996,57632.75825424839,495828.3333333333,263464.18,285231.97205504996,56475.930466899896,495828.3333333333,249281.68,13616647.268693652,15000,0,13085293.296948468
2025-04-01,285547.1280699512,54253.95433329073,517234.8599999999,252118.87,292685.80627169996,57182.55781998742,507092.99999999994,265889.16000000003,292685.80627169996,57638.08994009038,507092.99999999994,252118.87,13085293.296948468,15000,0,12546129.143280078
2025-05-01,295010.2523827317,56051.94795271903,517234.8599999999,255214.33000000002,302385.50869229995,60132.05305201214,507092.99999999994,272099.93,302385.50869229995,58662.788686306194,507092.99999999994,255214.33000000002,12546129.143280078,15000,0,12012544.533286072
2025-06-01,302975.77488278045,57565.39722772829,517234.8599999999,258133.27,310550.16925484996,57409.99841763445,507092.99999999994,274695.89999999997,310550.16925484996,59004.53215842149,507092.99999999994,258133.27,12012544.533286072,15000,0,11483863.9003825
2025-07-01,311103.4839831219,59109.66195679317,517234.8599999999,261071.32,318881.0710826999,58245.55772189688,507092.99999999994,271421.79,318881.0710826999,59311.87922138219,507092.99999999994,261071.32,11483863.9003825,45000,0,10930268.772243818
2025-08-01,318765.77142585366,60565.4965709122,517234.8599999999,263954.52,326734.9157115,61102.39245182915,507092.99999999994,271270.20999999996,326734.9157115,59815.948086708784,507092.99999999994,263954.52,10930268.772243818,15000,0,10411140.21986861
2025-09-01,324840.9716222926,61719.78460823559,541148.08,266650.63,332961.9959128499,60328.31107432355,530537.3333333333,288454.13,332961.9959128499,60599.08325613868,530537.3333333333,266650.63,10411140.21986861,15000,0,9871315.169191988
2025-10-01,331595.6817117073,63003.17952522439,541148.08,269426.83999999997,339885.57375449996,58758.416916319715,530537.3333333333,274239.04000000004,339885.57375449996,62223.46268334502,530537.3333333333,269426.83999999997,9871315.169191988,15000,0,9334013.10692981
2025-11-01,338660.7857767317,64345.54929757902,541148.08,272239.64,347127.30542114994,64005.65341131413,530537.3333333333,288801.19,347127.30542114994,64565.67880833389,530537.3333333333,272239.64,9334013.10692981,15000,0,8798797.760209294
2025-12-01,343997.754138439,65359.57328630341,559326.6900000001,274848.74,352597.6979919,66573.96621426764,548359.5,284873.48000000004,352597.6979919,66993.562618461,548359.5,274848.74,8798797.760209294,15000,0,8246193.655582733
2026-01-01,364924.50685034704,69335.65630156593,580875.55,279295.48,374047.61952160567,72953.55595520242,569485.8333333334,294425.93,374047.61952160567,72565.2381871915,569485.8333333334,279295.48,8246193.655582733,45000,0,7653894.723583814
2026-02-01,376721.63281017874,71577.11023393396,609196.02,282666.06,386139.67363043316,75556.90952178548,597251.0,286002.16000000003,386139.67363043316,76041.7921239662,597251.0,282666.06,7653894.723583814,15000,0,7069075.5450902805
2026-03-01,387494.2082660246,73623.89957054467,631626.33,285915.88,397181.56347267516,76160.40880132568,619241.5,313887.57,397181.56347267516,78641.94956758969,619241.5,285915.88,7069075.5450902805,15000,0,6467457.778995366
