month,department,planned_headcount,actual_headcount,reported_headcount,salary_cost,benefits_cost,personnel_cost
2023-01-01,Engineering,0,1,1,12008.333333333334,2641.8333333333335,14650.166666666668
2023-01-01,Sales,0,0,0,0.0,0.0,0.0
2023-01-01,Marketing,0,0,0,0.0,0.0,0.0
2023-01-01,Customer Success,1,1,1,8925.0,1963.5,10888.5
2023-01-01,G&A,0,0,0,0.0,0.0,0.0
2023-02-01,Engineering,1,1,1,12008.333333333334,2641.8333333333335,14650.166666666668
2023-02-01,Sales,0,0,0,0.0,0.0,0.0
2023-02-01,Marketing,0,0,0,0.0,0.0,0.0
2023-02-01,Customer Success,1,1,1,8925.0,1963.5,10888.5
2023-02-01,G&A,0,0,0,0.0,0.0,0.0
2023-03-01,Engineering,2,2,2,21608.333333333332,4753.833333333333,26362.166666666664
2023-03-01,Sales,0,1,1,11100.0,2442.0,13542.0
2023-03-01,Marketing,0,0,0,0.0,0.0,0.0
2023-03-01,Customer Success,1,1,1,8925.0,1963.5,10888.5
2023-03-01,G&A,1,0,0,0.0,0.0,0.0
2023-04-01,Engineering,2,2,2,21608.333333333332,4753.833333333333,26362.166666666664
2023-04-01,Sales,1,1,1,11100.0,2442.0,13542.0
2023-04-01,Marketing,0,0,0,0.0,0.0,0.0
2023-04-01,Customer Success,1,2,2,18616.666666666668,4095.666666666667,22712.333333333336
2023-04-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-05-01,Engineering,2,2,2,21608.333333333332,4753.833333333333,26362.166666666664
2023-05-01,Sales,1,1,1,11100.0,2442.0,13542.0
2023-05-01,Marketing,1,0,0,0.0,0.0,0.0
2023-05-01,Customer Success,2,3,3,25525.0,5615.5,31140.5
2023-05-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-06-01,Engineering,2,2,2,21608.333333333332,4753.833333333333,26362.166666666664
2023-06-01,Sales,1,1,1,11100.0,2442.0,13542.0
2023-06-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-06-01,Customer Success,4,3,3,25525.0,5615.5,31140.5
2023-06-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-07-01,Engineering,2,2,2,21608.333333333332,4753.833333333333,26362.166666666664
2023-07-01,Sales,1,1,1,11100.0,2442.0,13542.0
2023-07-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-07-01,Customer Success,4,4,4,34433.333333333336,7575.333333333334,42008.66666666667
2023-07-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-08-01,Engineering,3,3,3,36225.0,7969.5,44194.5
2023-08-01,Sales,1,1,1,11100.0,2442.0,13542.0
2023-08-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-08-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2023-08-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-09-01,Engineering,6,6,6,73558.33333333333,16182.833333333332,89741.16666666666
2023-09-01,Sales,2,2,2,19875.0,4372.5,24247.5
2023-09-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-09-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2023-09-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-10-01,Engineering,7,7,7,85066.66666666667,18714.666666666668,103781.33333333334
2023-10-01,Sales,2,2,2,19875.0,4372.5,24247.5
2023-10-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-10-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2023-10-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-11-01,Engineering,7,8,8,95875.0,21092.5,116967.5
2023-11-01,Sales,2,2,2,19875.0,4372.5,24247.5
2023-11-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-11-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2023-11-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2023-12-01,Engineering,8,8,8,95875.0,21092.5,116967.5
2023-12-01,Sales,2,2,2,19875.0,4372.5,24247.5
2023-12-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2023-12-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2023-12-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2024-01-01,Engineering,8,9,9,107575.0,23666.5,131241.5
2024-01-01,Sales,2,2,2,19875.0,4372.5,24247.5
2024-01-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2024-01-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2024-01-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2024-02-01,Engineering,9,9,9,107575.0,23666.5,131241.5
2024-02-01,Sales,3,4,4,37050.0,8151.0,45201.0
2024-02-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2024-02-01,Customer Success,5,5,5,41700.0,9174.0,50874.0
2024-02-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2024-03-01,Engineering,9,10,10,120950.0,26609.0,147559.0
2024-03-01,Sales,5,5,5,45516.666666666664,10013.666666666666,55530.33333333333
2024-03-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2024-03-01,Customer Success,6,5,5,41700.0,9174.0,50874.0
2024-03-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2024-04-01,Engineering,11,12,12,143941.66666666666,31667.166666666664,175608.8333333333
2024-04-01,Sales,5,5,5,45516.666666666664,10013.666666666666,55530.33333333333
2024-04-01,Marketing,1,1,1,7225.0,1589.5,8814.5
2024-04-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-04-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2024-05-01,Engineering,12,12,12,143941.66666666666,31667.166666666664,175608.8333333333
2024-05-01,Sales,5,5,5,45516.666666666664,10013.666666666666,55530.33333333333
2024-05-01,Marketing,2,2,2,17091.666666666668,3760.166666666667,20851.833333333336
2024-05-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-05-01,G&A,1,1,1,11641.666666666666,2561.1666666666665,14202.833333333332
2024-06-01,Engineering,12,12,12,143941.66666666666,31667.166666666664,175608.8333333333
2024-06-01,Sales,5,5,5,45516.666666666664,10013.666666666666,55530.33333333333
2024-06-01,Marketing,2,2,2,17091.666666666668,3760.166666666667,20851.833333333336
2024-06-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-06-01,G&A,1,2,2,19933.333333333332,4385.333333333333,24318.666666666664
2024-07-01,Engineering,12,12,12,143941.66666666666,31667.166666666664,175608.8333333333
2024-07-01,Sales,5,5,5,45516.666666666664,10013.666666666666,55530.33333333333
2024-07-01,Marketing,2,2,2,17091.666666666668,3760.166666666667,20851.833333333336
2024-07-01,Customer Success,6,6,6,49975.0,10994.5,60969.5
2024-07-01,G&A,3,2,2,19933.333333333332,4385.333333333333,24318.666666666664
2024-08-01,Engineering,12,12,12,143941.66666666666,31667.166666666664,175608.8333333333
2024-08-01,Sales,6,6,6,54941.666666666664,12087.166666666666,67028.83333333333
