month,revenue,cogs,gross_profit,payroll,other_opex,ebitda,depreciation,operating_income,cash_from_operations,cash_from_investing,cash_from_financing,net_change_in_cash,ending_cash,deferred_revenue
2023-01-01,129227.37400000001,25139.068437545437,104088.30556245457,25538.666666666668,192394.77,-113845.1311042121,18750.0,-132595.13110421208,-112601.3176294621,-45000,0,-157601.3176294621,17853757.446777333,3230.684349999996
2023-02-01,133218.292,26235.80744369323,106982.48455630676,25538.666666666668,189729.39,-108285.57211035992,14250.0,-122535.57211035992,-107003.3460498599,-15000,0,-122003.3460498599,17737902.5332297,6561.141650000005
2023-03-01,137364.398,26942.87426197609,110421.5237380239,50792.666666666664,202374.15000000002,-142745.2929286428,14250.0,-156995.2929286428,-141423.16059789283,-15000,0,-156423.16059789283,17597519.203759033,9995.251599999989
2023-04-01,141962.692,27766.614897090363,114196.07710290965,76819.33333333333,195793.90999999997,-158417.16623042367,14250.0,-172667.16623042367,-157050.77531992368,-15000,0,-172050.77531992368,17432440.394564405,13544.318899999984
2023-05-01,146659.986,28226.834987727336,118433.15101227266,85247.49999999999,194423.65,-161237.99898772733,14250.0,-175487.99898772733,-159826.39662247733,-15000,0,-174826.39662247733,17260614.943280406,17210.818549999996
2023-06-01,150099.71600000001,28137.588811688594,121962.12718831142,94061.99999999999,197565.34999999998,-169665.22281168855,14250.0,-183915.22281168855,-168220.51304518856,-15000,0,-183220.51304518856,17080972.243240405,20963.31144999998
2023-07-01,155150.198,28697.49768090802,126452.70031909198,104930.16666666667,206306.94,-184784.4063475747,18750.0,-203534.4063475747,-183291.08569182473,-45000,0,-228291.08569182473,16862612.067745738,24842.066399999952
2023-08-01,159395.304,29096.198872689623,130299.10512731038,131627.83333333334,202968.04,-204296.76820602297,14250.0,-218546.76820602297,-202762.58840502295,-15000,0,-217762.58840502295,16649008.293712469,28826.948999999964
2023-09-01,162538.03399999999,28745.25795203866,133792.77604796132,187880.0,201065.87,-255153.09395203867,14250.0,-269403.0939520387,-253588.6653747887,-15000,0,-268588.6653747887,16379552.535524469,32890.39984999996
2023-10-01,166033.952,30817.35790032903,135216.59409967097,201920.1666666667,211603.28000000003,-278306.8525669958,14250.0,-292556.8525669958,-276708.7757789957,-15000,0,-291708.7757789957,16096356.286940385,37041.248649999965
2023-11-01,170434.246,31873.22627343761,138561.0197265624,215106.33333333334,215453.89,-291999.20360677096,14250.0,-306249.20360677096,-290358.77398902096,-15000,0,-305358.77398902096,15800583.489851052,41302.10479999994
2023-12-01,175131.54,32882.099569894155,142249.44043010584,215106.33333333334,218920.39,-291777.2829032275,14250.0,-306027.2829032275,-290091.64183072746,-15000,0,-305091.64183072746,15505413.573917719,45680.39329999994
2024-01-01,185552.36361,35674.36360349156,149878.00000650843,229380.33333333334,227149.54000000004,-306651.873326825,18750.0,-325401.873326825,-304865.9318270788,-45000,0,-349865.9318270788,15170489.925654044,50319.202390249906
2024-02-01,190311.5979,37214.34935992303,153097.24854007695,250333.83333333334,231262.74,-328499.32479325635,14250.0,-342749.32479325635,-326667.57566346886,-15000,0,-341667.57566346886,14845364.139192382,55076.99233774989
