month,recognized_revenue,billings,cash_collections,deferred_revenue_start,change_in_deferred_revenue,deferred_revenue_end,change_in_ar
2023-01-01,129227.37400000001,132458.05835,130471.18747475001,0.0,3230.684349999996,3230.684349999996,1986.8708752499952
2023-02-01,133218.292,136548.7493,134500.5180605,3230.684349999996,3330.457300000009,6561.141650000005,2048.23123949999
2023-03-01,137364.398,140798.50794999997,138686.53033074996,6561.141650000005,3434.1099499999837,9995.251599999989,2111.977619250014
2023-04-01,141962.692,145511.7593,143329.0829105,9995.251599999989,3549.067299999995,13544.318899999984,2182.676389500004
2023-05-01,146659.986,150326.48565000002,148071.58836525,13544.318899999984,3666.4996500000125,17210.818549999996,2254.8972847500117
2023-06-01,150099.71600000001,153852.2089,151544.4257665,17210.818549999996,3752.492899999983,20963.31144999998,2307.7831334999937
2023-07-01,155150.198,159028.95294999998,156643.51865574997,20963.31144999998,3878.754949999973,24842.066399999952,2385.434294250008
2023-08-01,159395.304,163380.18660000002,160929.48380100002,24842.066399999952,3984.8826000000117,28826.948999999964,2450.7027989999915
2023-09-01,162538.03399999999,166601.48484999998,164102.46257724997,28826.948999999964,4063.450849999994,32890.39984999996,2499.0222727500077
2023-10-01,166033.952,170184.8008,167632.028788,32890.39984999996,4150.848800000007,37041.248649999965,2552.7720120000013
2023-11-01,170434.246,174695.10215,172074.67561774998,37041.248649999965,4260.856149999978,41302.10479999994,2620.426532250014
2023-12-01,175131.54,179509.8285,176817.1810725,41302.10479999994,4378.288499999995,45680.39329999994,2692.647427499993
2024-01-01,185552.36361,190191.17270024997,187338.30510974623,45680.39329999994,4638.809090249968,50319.202390249906,2852.867590503738
2024-02-01,190311.5979,195069.38784749998,192143.3470297875,50319.202390249906,4757.789947499987,55076.99233774989,2926.040817712492
2024-03-01,196211.79134999996,201117.08613374995,198100.3298417437,55076.99233774989,4905.294783749996,59982.28712149989,3016.756292006263
2024-04-01,203332.03245,208415.33326125,205289.10326233125,59982.28712149989,5083.300811249996,65065.587932749884,3126.229998918745
2024-05-01,209676.86397,214918.78556925,211695.00378571125,65065.587932749884,5241.921599249996,70307.50953199988,3223.781783538754
2024-06-01,217015.87922999996,222441.27621074996,219104.6570675887,70307.50953199988,5425.396980749996,75732.90651274988,3336.6191431612533
2024-07-01,223770.57075,229364.83501875002,225924.36249346877,75732.90651274988,5594.264268750005,81327.17078149988,3440.4725252812495
2024-08-01,230480.95185,236242.97564624998,232699.33101155623,81327.17078149988,5762.023796249967,87089.19457774985,3543.6446346937446
2024-09-01,235868.8203,241765.54080749996,238139.05769538746,87089.19457774985,5896.720507499966,92985.91508524981,3626.4831121125026
2024-10-01,241461.61874999997,247498.15921874996,243785.6868304687,92985.91508524981,6036.540468749998,99022.45555399981,3712.472388281254
2024-11-01,246951.95219999997,253125.75100499994,249328.86473992493,99022.45555399981,6173.798804999969,105196.25435899978,3796.886265075009
2024-12-01,252179.20106999995,258483.68109674996,254606.42588029872,105196.25435899978,6304.48002675001,111500.73438574979,3877.2552164512454
2025-01-01,268268.87137095,274975.59315522376,270850.9592578954,111500.73438574979,6706.721784273745,118207.45617002354,4124.633897328342
2025-02-01,276349.14725534996,283257.87593673373,279009.0077976827,118207.45617002354,6908.728681383771,125116.1848514073,4248.868139051017
2025-03-01,285231.97205504996,292362.77135642624,287977.3297860798,125116.1848514073,7130.799301376275,132246.98415278358,4385.441570346418
2025-04-01,292685.80627169996,300002.95142849244,295502.90715706506,132246.98415278358,7317.145156792481,139564.12930957606,4500.044271427381
2025-05-01,302385.50869229995,309945.14640960743,305295.9692134633,139564.12930957606,7559.637717307487,147123.76702688355,4649.177196144126
2025-06-01,310550.16925484996,318313.92348622123,313539.2146339279,147123.76702688355,7763.754231371277,154887.52125825483,4774.708852293319
2025-07-01,318881.0710826999,326853.09785976744,321950.30139187095,154887.52125825483,7972.026777067513,162859.54803532234,4902.796467896493
2025-08-01,326734.9157115,334903.2886042875,329879.73927522317,162859.54803532234,8168.372892787505,171027.92092810984,5023.549329064321
2025-09-01,332961.9959128499,341286.0458106711,336166.7551235111,171027.92092810984,8324.049897821213,179351.97082593106,5119.290687160043
2025-10-01,339885.57375449996,348382.71309836244,343156.972401887,179351.97082593106,8497.13934386248,187849.11016979354,5225.740696475434
2025-11-01,347127.30542114994,355805.4880566787,350468.4057358285,187849.11016979354,8678.182635528734,196527.29280532227,5337.082320850168
2025-12-01,352597.6979919,361412.6404416975,355991.450835072,196527.29280532227,8814.942449797527,205342.2352551198,5421.18960662547
2026-01-01,374047.61952160567,383398.8100096458,377647.8278595011,205342.2352551198,9351.190488040156,214693.42574315995,5750.9821501447
2026-02-01,386139.67363043316,395793.16547119396,389856.26798912603,214693.42574315995,9653.491840760806,224346.91758392076,5936.897482067929
2026-03-01,397181.56347267516,407111.10255949205,401004.4360210997,224346.91758392076,9929.53908681689,234276.45667073765,6106.666538392368
2026-04-01,410448.3751280091,420709.5845062093,414398.94073861616,234276.45667073765,10261.209378200176,244537.66604893783,6310.643767593137
2026-05-01,420574.9052752154,431089.2779070958,424622.93873848935,244537.66604893783,10514.372631880397,255052.03868081822,6466.339168606442
2026-06-01,430357.31600325066,441116.2489033319,434499.505169782,255052.03868081822,10758.932900081272,265810.9715808995,6616.743733549956
2026-07-01,440593.60922008194,451608.449450584,444834.32270882523,265810.9715808995,11014.840230502072,276825.81181140157,6774.126741758781
2026-08-01,449936.96766961715,461185.3918613576,454267.6109834372,276825.81181140157,11248.424191740458,288074.236003142,6917.7808779203915
2026-09-01,459060.7999799024,470537.3199793999,463479.2601797089,288074.236003142,11476.519999497512,299550.75600263954,7058.059799691022
2026-10-01,468184.63229018764,479889.2480974423,472690.9093759807,299550.75600263954,11704.615807254682,311255.3718098942,7198.338721461652
2026-11-01,477809.81351893337,489755.0588569067,482408.7329740531,311255.3718098942,11945.245337973349,323200.61714786757,7346.325882853591
2026-12-01,487936.34366613964,500134.75225779315,492632.73097392626,323200.61714786757,12198.408591653511,335399.0257395211,7502.021283866896
