month,plan,starting_customers,new_customers,churned_customers,ending_customers,price_per_month,mrr,is_forecast
2023-01-01,Starter,320,12,7,325,99.0,32175.0,False
2023-01-01,Growth,145,7,3,149,349.0,52625.012,False
2023-01-01,Enterprise,28,1,0,29,1499.0,44427.362,False
2023-02-01,Starter,325,16,9,332,99.0,32868.0,False
2023-02-01,Growth,149,7,2,154,349.0,54390.952,False
2023-02-01,Enterprise,29,1,0,30,1499.0,45959.340000000004,False
2023-03-01,Starter,332,12,7,337,99.0,33363.0,False
2023-03-01,Growth,154,8,2,160,349.0,56510.08,False
2023-03-01,Enterprise,30,1,0,31,1499.0,47491.318,False
2023-04-01,Starter,337,14,8,343,99.0,33957.0,False
2023-04-01,Growth,160,9,2,167,349.0,58982.396,False
2023-04-01,Enterprise,31,1,0,32,1499.0,49023.296,False
2023-05-01,Starter,343,15,8,350,99.0,34650.0,False
2023-05-01,Growth,167,10,3,174,349.0,61454.712,False
2023-05-01,Enterprise,32,1,0,33,1499.0,50555.274,False
2023-06-01,Starter,350,13,8,355,99.0,35145.0,False
2023-06-01,Growth,174,7,3,178,349.0,62867.464,False
2023-06-01,Enterprise,33,1,0,34,1499.0,52087.252,False
2023-07-01,Starter,355,15,8,362,99.0,35838.0,False
2023-07-01,Growth,178,10,2,186,349.0,65692.968,False
2023-07-01,Enterprise,34,1,0,35,1499.0,53619.23,False
2023-08-01,Starter,362,14,8,368,99.0,36432.0,False
2023-08-01,Growth,186,9,3,192,349.0,67812.096,False
2023-08-01,Enterprise,35,1,0,36,1499.0,55151.208,False
2023-09-01,Starter,368,12,10,370,99.0,36630.0,False
2023-09-01,Growth,192,8,4,196,349.0,69224.848,False
2023-09-01,Enterprise,36,1,0,37,1499.0,56683.186,False
2023-10-01,Starter,370,10,8,372,99.0,36828.0,False
2023-10-01,Growth,196,7,2,201,349.0,70990.788,False
2023-10-01,Enterprise,37,1,0,38,1499.0,58215.164000000004,False
2023-11-01,Starter,372,14,10,376,99.0,37224.0,False
2023-11-01,Growth,201,10,3,208,349.0,73463.104,False
2023-11-01,Enterprise,38,1,0,39,1499.0,59747.142,False
2023-12-01,Starter,376,15,8,383,99.0,37917.0,False
2023-12-01,Growth,208,10,3,215,349.0,75935.42,False
2023-12-01,Enterprise,39,1,0,40,1499.0,61279.12,False
2024-01-01,Starter,383,15,10,388,102.46499999999999,39756.42,False
2024-01-01,Growth,215,10,4,221,361.215,80786.45718,False
2024-01-01,Enterprise,40,1,0,41,1551.465,65009.48643,False
2024-02-01,Starter,388,15,9,394,102.46499999999999,40371.21,False
2024-02-01,Growth,221,11,4,228,361.215,83345.30423999998,False
2024-02-01,Enterprise,41,1,0,42,1551.465,66595.08366,False
2024-03-01,Starter,394,17,7,404,102.46499999999999,41395.85999999999,False
2024-03-01,Growth,228,13,4,237,361.215,86635.25045999998,False
2024-03-01,Enterprise,42,1,0,43,1551.465,68180.68089,False
2024-04-01,Starter,404,19,9,414,102.46499999999999,42420.509999999995,False
2024-04-01,Growth,237,12,4,245,361.215,89559.64709999999,False
2024-04-01,Enterprise,43,2,0,45,1551.465,71351.87535,False
2024-05-01,Starter,414,17,11,420,102.46499999999999,43035.299999999996,False
2024-05-01,Growth,245,11,4,252,361.215,92118.49415999999,False
2024-05-01,Enterprise,45,2,0,47,1551.465,74523.06981,False
2024-06-01,Starter,420,17,12,425,102.46499999999999,43547.62499999999,False
2024-06-01,Growth,252,13,3,262,361.215,95773.98995999999,False
2024-06-01,Enterprise,47,2,0,49,1551.465,77694.26426999999,False
2024-07-01,Starter,425,17,7,435,102.46499999999999,44572.274999999994,False
2024-07-01,Growth,262,11,4,269,361.215,98332.83701999999,False
2024-07-01,Enterprise,49,2,0,51,1551.465,80865.45873,False
2024-08-01,Starter,435,16,10,441,102.46499999999999,45187.064999999995,False
2024-08-01,Growth,269,12,4,277,361.215,101257.23366,False
2024-08-01,Enterprise,51,2,0,53,1551.465,84036.65319,False
2024-09-01,Starter,441,16,11,446,102.46499999999999,45699.38999999999,False
2024-09-01,Growth,277,13,4,286,361.215,104547.17988,False
2024-09-01,Enterprise,53,1,0,54,1551.465,85622.25042,False
2024-10-01,Starter,446,18,11,453,102.46499999999999,46416.645,False
2024-10-01,Growth,286,14,5,295,361.215,107837.1261,False
2024-10-01,Enterprise,54,1,0,55,1551.465,87207.84765,False
2024-11-01,Starter,453,17,11,459,102.46499999999999,47031.435,False
2024-11-01,Growth,295,14,5,304,361.215,111127.07231999999,False
2024-11-01,Enterprise,55,1,0,56,1551.465,88793.44488,False
2024-12-01,Starter,459,18,11,466,102.46499999999999,47748.689999999995,False
2024-12-01,Growth,304,13,5,312,361.215,114051.46895999998,False
2024-12-01,Enterprise,56,1,0,57,1551.465,90379.04211,False
2025-01-01,Starter,466,19,10,475,106.05127499999999,50374.355625,False
2025-01-01,Growth,312,13,5,320,373.85752499999995,121070.02089599999,False
2025-01-01,Enterprise,57,2,0,59,1605.7662749999997,96824.49484994999,False
2025-02-01,Starter,475,20,14,481,106.05127499999999,51010.66327499999,False
2025-02-01,Growth,320,16,5,331,373.85752499999995,125231.80286429999,False
2025-02-01,Enterprise,59,2,0,61,1605.7662749999997,100106.68111604998,False
2025-03-01,Starter,481,21,11,491,106.05127499999999,52071.17602499999,False
2025-03-01,Growth,331,17,5,343,373.85752499999995,129771.92864789999,False
2025-03-01,Enterprise,61,2,0,63,1605.7662749999997,103388.86738214998,False
2025-04-01,Starter,491,20,8,503,106.05127499999999,53343.791325,False
2025-04-01,Growth,343,18,6,355,373.85752499999995,134312.05443149997,False
2025-04-01,Enterprise,63,2,1,64,1605.7662749999997,105029.96051519999,False
2025-05-01,Starter,503,23,16,510,106.05127499999999,54086.15024999999,False
2025-05-01,Growth,355,21,6,370,373.85752499999995,139987.211661,False
2025-05-01,Enterprise,64,2,0,66,1605.7662749999997,108312.14678129999,False
2025-06-01,Starter,510,21,13,518,106.05127499999999,54934.56045,False
2025-06-01,Growth,370,20,5,385,373.85752499999995,145662.3688905,False
2025-06-01,Enterprise,66,2,1,67,1605.7662749999997,109953.23991435,False
2025-07-01,Starter,518,21,15,524,106.05127499999999,55570.86809999999,False
2025-07-01,Growth,385,21,5,401,373.85752499999995,151715.86993529997,False
2025-07-01,Enterprise,67,2,1,68,1605.7662749999997,111594.33304739998,False
2025-08-01,Starter,524,21,10,535,106.05127499999999,56737.43212499999,False
2025-08-01,Growth,401,16,7,410,373.85752499999995,155120.964273,False
2025-08-01,Enterprise,68,2,0,70,1605.7662749999997,114876.51931349999,False
